"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Crm Cd","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","LOCATION","LAT","LON"
"230618541","12/2/2023 0:00","12/1/2023 0:00","2320","6","Hollywood","310","BURGLARY","34","M","B","5900    CARLTON                      WY","34.1005","-118.318"
"230222009","12/2/2023 0:00","12/2/2023 0:00","1530","2","Rampart","888","TRESPASSING","0","X","X","600 S  ALVARADO                     ST","34.0595","-118.2749"
"230221988","12/2/2023 0:00","12/2/2023 0:00","2255","2","Rampart","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0","X","X","1000 W  SUNSET                       BL","34.064","-118.2478"
"230618583","12/2/2023 0:00","12/1/2023 0:00","1900","6","Hollywood","900","VIOLATION OF COURT ORDER","45","F","W","1800 N  HARVARD                      BL","34.1039","-118.305"
"230618646","12/2/2023 0:00","12/2/2023 0:00","1515","6","Hollywood","888","TRESPASSING","0","X","X","6800    HOLLYWOOD                    BL","34.1016","-118.3387"
"230414960","12/2/2023 0:00","12/2/2023 0:00","1545","4","Hollenbeck","624","BATTERY - SIMPLE ASSAULT","65","F","H","DALY","34.0765","-118.2157"
"230320717","12/2/2023 0:00","12/2/2023 0:00","630","3","Southwest","310","BURGLARY","22","X","X","3000 S  FIGUEROA                     ST","34.0268","-118.2808"
"230320647","12/2/2023 0:00","11/28/2023 0:00","1800","3","Southwest","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0","","","5200    VILLAGE GRN                  GR","34.0199","-118.3608"
"230125423","12/2/2023 0:00","12/2/2023 0:00","925","1","Central","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","48","M","W","400 S  SPRING                       ST","34.0488","-118.2483"
"230618607","12/2/2023 0:00","12/2/2023 0:00","645","6","Hollywood","624","BATTERY - SIMPLE ASSAULT","30","F","B","6200 W  SUNSET                       BL","34.098","-118.3237"
"230125482","12/2/2023 0:00","10/16/2023 0:00","1700","1","Central","815","SEXUAL PENETRATION W/FOREIGN OBJECT","27","M","W","400 E  7TH                          ST","34.0421","-118.2469"
"230320702","12/2/2023 0:00","12/2/2023 0:00","330","3","Southwest","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","30","M","B","S  WESTERN                      AV","34.0164","-118.3089"
"230717892","12/2/2023 0:00","11/30/2023 0:00","1517","7","Wilshire","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","55","M","W","100 N  ORLANDO                      AV","34.0745","-118.3732"
"230817586","12/2/2023 0:00","12/2/2023 0:00","1740","8","West LA","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","10200    SANTA MONICA                 BL","34.0611","-118.4184"
"230222019","12/2/2023 0:00","12/2/2023 0:00","1620","2","Rampart","888","TRESPASSING","0","X","X","600 S  ALVARADO                     ST","34.0595","-118.2749"
"230221949","12/2/2023 0:00","8/21/2023 0:00","1746","2","Rampart","440","THEFT PLAIN - PETTY ($950 & UNDER)","42","M","W","900 N  NORMANDIE                    AV","34.0863","-118.3005"
"230221958","12/2/2023 0:00","11/8/2023 0:00","2144","2","Rampart","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","600 N  DILLON                       ST","34.0786","-118.2788"
"230618582","12/2/2023 0:00","11/15/2023 0:00","1515","6","Hollywood","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","43","F","W","1900    LAUREL CANYON                BL","34.1061","-118.367"
"230817583","12/2/2023 0:00","12/2/2023 0:00","600","8","West LA","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","27","M","W","10300    KESWICK                      AV","34.0515","-118.4156"
"230125387","12/2/2023 0:00","12/2/2023 0:00","610","1","Central","888","TRESPASSING","0","X","X","500 S  HILL                         ST","34.0488","-118.2518"
"230516443","12/2/2023 0:00","12/1/2023 0:00","1840","5","Harbor","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","66","M","W","700 N  AVALON                       BL","33.7786","-118.2623"
"230320683","12/2/2023 0:00","12/1/2023 0:00","2330","3","Southwest","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","53","M","B","3800    3RD                          AV","34.0183","-118.3203"
"230618581","12/2/2023 0:00","12/2/2023 0:00","1140","6","Hollywood","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","47","M","W","6800    HOLLYWOOD                    BL","34.1016","-118.3387"
"230320684","12/2/2023 0:00","11/21/2023 0:00","2000","3","Southwest","480","BIKE - STOLEN","24","M","O","1200 W  37TH                         DR","34.019","-118.2944"
