DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,LAT,LON
231718700,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2130,17,Devonshire,310,BURGLARY,0,X,X,9300    RESEDA                       BL,34.2391,-118.5361
230717976,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1920,07,Wilshire,510,VEHICLE - STOLEN,0,,,300 S  LA BREA                      AV,34.0669,-118.3456
231116482,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,2055,11,Northeast,110,CRIMINAL HOMICIDE,39,M,W,4600    HOLLYWOOD                    BL,34.0993,-118.2837
230516506,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0201,05,Harbor,330,BURGLARY FROM VEHICLE,79,F,W,2200    WARMOUTH                     ST,33.7199,-118.3254
230125565,12/04/2023 12:00:00 AM,11/23/2023 12:00:00 AM,1005,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),32,F,K,900 W  TEMPLE                       ST,34.0607,-118.2494
232018893,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,0300,20,Olympic,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,F,K,3200    WILSHIRE                     BL,34.0636,-118.296
230415044,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1945,04,Hollenbeck,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,B,3400    WHITTIER                     BL,34.0278,-118.201
231116462,12/04/2023 12:00:00 AM,11/17/2023 12:00:00 AM,1200,11,Northeast,354,THEFT OF IDENTITY,57,M,F,1900    ALLESANDRO                   ST,34.09,-118.2587
230516509,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1420,05,Harbor,210,ROBBERY,40,F,H,100 E  PACIFIC COAST                HY,33.7912,-118.2633
231917423,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1700,19,Mission,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,37,F,H,10100 N  SEPULVEDA                    BL,34.2536,-118.4674
230718083,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0200,07,Wilshire,886,DISTURBING THE PEACE,54,F,W,600 S  DUNSMUIR                     AV,34.0649,-118.3483
231421230,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1930,14,Pacific,520,VEHICLE - ATTEMPT STOLEN,47,F,W,CLUBHOUSE,33.99,-118.4741
230717938,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,0700,07,Wilshire,510,VEHICLE - STOLEN,0,,,400 N  SYCAMORE                     AV,34.0783,-118.3429
