crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
230716081,2023-10-21,2023-10-21,945,7,Wilshire,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,F,W,W  WASHINGTON                   BL,34.0387,-118.3717
230413622,2023-10-21,2023-10-21,1500,4,Hollenbeck,310,BURGLARY,61,M,O,1800    BRIDGE                       ST,34.0515,-118.2156
230514933,2023-10-21,2023-10-21,500,5,Harbor,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,M,H,254TH,33.7938,-118.2999
230616790,2023-10-21,2023-10-20,2200,6,Hollywood,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,48,F,W,HOLLYWOOD,34.1016,-118.3350
230219501,2023-10-21,2023-10-20,1400,2,Rampart,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,BURLINGTON,34.0572,-118.2720
230413609,2023-10-21,2023-10-21,740,4,Hollenbeck,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,X,1700    ZONAL                        AV,34.0621,-118.2106
230514957,2023-10-21,2023-10-17,1552,5,Harbor,440,THEFT PLAIN - PETTY ($950 & UNDER),53,M,F,25400    FRAMPTON                     AV,33.7926,-118.3043
230318458,2023-10-21,2023-10-21,2020,3,Southwest,624,BATTERY - SIMPLE ASSAULT,54,F,H,MARTIN LUTHER KING JR        BL,34.0111,-118.2827
230319036,2023-10-21,2023-10-20,2235,3,Southwest,352,PICKPOCKET,31,F,H,3900 S  FIGUEROA                     ST,34.0146,-118.2872
230413607,2023-10-21,2023-10-21,1000,4,Hollenbeck,888,TRESPASSING,55,M,W,2100    CHARLOTTE                    ST,34.0576,-118.2044
230413604,2023-10-21,2023-10-21,1100,4,Hollenbeck,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),46,M,A,600    BRITTANIA                    ST,34.0506,-118.2124
230219496,2023-10-21,2023-10-21,700,2,Rampart,901,VIOLATION OF RESTRAINING ORDER,61,F,H,900 S  LAKE                         ST,34.0539,-118.2799
230514947,2023-10-21,2023-10-21,500,5,Harbor,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),43,F,H,25900    WESTERN                      AV,33.7882,-118.3075
